subject,session,run,task,file_number,has_pupil,has_gaze,has_eyemovie,has_log,empty_log,checked,DO_NOT_USE,no_pupil_data,pupilConf_thresh,Fails_DriftCorr,Pass_DriftCorr,Flag_someBadLevels,notes,FIX_IT?
sub-03,ses-006,run-01,task-mariostars,20220831-135941,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-006,run-02,task-mariostars,20220831-135941,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-007,run-01,task-mariostars,20220907-135154,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-007,run-02,task-mariostars,20220907-135154,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-008,run-01,task-mariostars,20220914-135210,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-008,run-02,task-mariostars,20220914-135210,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-008,run-03,task-mariostars,20220914-135210,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-009,run-01,task-mariostars,20220921-134718,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-009,run-02,task-mariostars,20220921-134718,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-010,run-01,task-mariostars,20220928-135102,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,0.75,,1,,low conf/noisy,
sub-03,ses-010,run-02,task-mariostars,20220928-135102,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,0.75,,1,,low conf/noisy,
sub-03,ses-010,run-03,task-mariostars,20220928-135102,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,0.75,,1,1,low conf/noisy,
sub-03,ses-011,run-01,task-mariostars,20221005-132811,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-011,run-02,task-mariostars,20221005-132811,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-011,run-03,task-mariostars,20221005-132811,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-011,run-04,task-mariostars,20221005-132811,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-011,run-05,task-mariostars,20221005-132811,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-012,run-01,task-mariostars,20221007-133319,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-012,run-02,task-mariostars,20221007-133319,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-012,run-03,task-mariostars,20221007-133319,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-012,run-04,task-mariostars,20221007-133319,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-012,run-05,task-mariostars,20221007-133319,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-03,ses-013,run-01,task-mariostars,20221012-134015,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,,
sub-03,ses-013,run-02,task-mariostars,20221012-134015,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,,
sub-03,ses-013,run-03,task-mariostars,20221012-141355,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-001,run-01,task-mariostars,20230109-172648,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-001,run-02,task-mariostars,20230109-172648,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-001,run-03,task-mariostars,20230109-172648,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-001,run-04,task-mariostars,20230109-172648,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-002,run-01,task-mariostars,20230116-172326,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,duplicate of run and session,
sub-05,ses-002,run-02,task-mariostars,20230116-172326,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,duplicate of run and session,
sub-05,ses-002,run-01,task-mariostars,20230116-175511,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,duplicate of run and session,
sub-05,ses-002,run-02,task-mariostars,20230116-175511,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,duplicate of run and session,
sub-05,ses-002,run-03,task-mariostars,20230116-175511,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-002,run-04,task-mariostars,20230116-175511,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,1,,
sub-05,ses-002,run-05,task-mariostars,20230116-175511,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-002,run-06,task-mariostars,20230116-175511,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-002,run-01,task-mariostars,20230116-191812,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,duplicate of run and session,
sub-05,ses-002,run-02,task-mariostars,20230116-191812,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,duplicate of run and session,
sub-05,ses-003,run-01,task-mariostars,20230123-172328,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,1,,
sub-05,ses-003,run-02,task-mariostars,20230123-172328,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-003,run-03,task-mariostars,20230123-180231,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-003,run-04,task-mariostars,20230123-181851,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-003,run-05,task-mariostars,20230123-181851,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-003,run-06,task-mariostars,20230123-184435,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-003,run-07,task-mariostars,20230123-184435,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-003,run-08,task-mariostars,20230123-184435,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-003,run-09,task-mariostars,20230123-193314,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-003,run-10,task-mariostars,20230123-193314,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-004,run-01,task-mariostars,20230130-184548,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-004,run-02,task-mariostars,20230130-184548,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-004,run-03,task-mariostars,20230130-184548,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-004,run-04,task-mariostars,20230130-184548,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-004,run-05,task-mariostars,20230130-184548,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-005,run-01,task-mariostars,20230206-183411,FALSE,FALSE,FALSE,TRUE,FALSE,,1,1,,,,,,
sub-05,ses-005,run-02,task-mariostars,20230206-183411,FALSE,FALSE,FALSE,TRUE,FALSE,,1,1,,,,,,
sub-05,ses-005,run-03,task-mariostars,20230206-183411,FALSE,FALSE,FALSE,TRUE,FALSE,,1,1,,,,,,
sub-05,ses-005,run-04,task-mariostars,20230206-183411,FALSE,FALSE,FALSE,TRUE,FALSE,,1,1,,,,,,
sub-05,ses-005,run-05,task-mariostars,20230206-183411,FALSE,FALSE,FALSE,TRUE,FALSE,,1,1,,,,,,
sub-05,ses-005,run-06,task-mariostars,20230206-183411,FALSE,FALSE,FALSE,TRUE,FALSE,,1,1,,,,,,
sub-05,ses-005,run-06,task-mariostars,20230206-193959,FALSE,FALSE,FALSE,TRUE,FALSE,,1,1,,,,,,
sub-05,ses-006,run-01,task-mariostars,20230213-174041,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-006,run-02,task-mariostars,20230213-174041,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-05,ses-006,run-03,task-mariostars,20230213-174041,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,,,,,,gap of missing pupils: camera freeze?,
sub-05,ses-006,run-04,task-mariostars,20230213-174041,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,1,,
sub-05,ses-006,run-05,task-mariostars,20230213-174041,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,,,,,,Smallish gap of missing pupils: camera freeze?,
sub-05,ses-006,run-06,task-mariostars,20230213-174041,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-001,run-01,task-mariostars,20220601-152940,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,1,,,,,,
